food_id,food_item,serving_size_g,category,main_ingredients,calories,protein_g,carbs_g,fat_g,fiber_g,nutrition_notes,dietary_tags,meal_type,dish_role,cal_per_100g,macro_basis,pairs_well_with,min_serving_g,max_serving_g,allergens,gi,gl,gi_category,prep_method,sodium_mg,sodium_category
SL001,Kiribath,150,Grains & Rice Dishes,"White rice,coconut milk,salt",315,5.2,58.0,7.5,1.2,Festive milk rice,"Gluten-Free,Vegetarian",breakfast,main,210.0,per_serving,SL044,100,200,none,72,41.8,high,boiled,120,low
SL002,String Hoppers,120,Grains & Rice Dishes,"Rice flour,water,salt",210,3.6,48.0,0.4,2.0,Steamed noodle cakes,"Gluten-Free,Vegetarian,Vegan",breakfast,main,175.0,per_serving,"SL010,SL029,SL112,SL130,SL203",80,160,none,70,33.6,medium,steamed,130,low
SL003,Hoppers Appa,100,Grains & Rice Dishes,"Rice flour,coconut milk,yeast,sugar",180,2.5,28.0,6.5,1.0,Bowl-shaped pancake,"Gluten-Free,Vegetarian",breakfast,main,180.0,per_serving,"SL010,SL029,SL130",65,135,none,55,15.4,low,steamed,105,low
SL004,Egg Hoppers,130,Grains & Rice Dishes,"Rice flour,coconut milk,egg,yeast",260,7.0,28.0,12.0,1.0,Hopper with egg,Gluten-Free,breakfast,standalone,200.0,per_serving,,85,175,egg,55,15.4,low,steamed,290,medium
SL005,Pittu,150,Grains & Rice Dishes,"Rice flour,coconut,water,salt",340,4.5,58.0,10.0,4.5,Steamed rice flour rolls,"Gluten-Free,Vegetarian,Vegan",breakfast,main,226.7,per_serving,"SL010,SL029,SL044,SL130,SL203",100,200,none,68,39.4,medium,steamed,170,medium
SL006,Kottu Roti,350,Roti & Flatbreads,"Godamba roti,vegetables,egg,spices",550,15.0,70.0,22.0,6.0,Chopped roti stir-fry,Contains Gluten,lunch_dinner,standalone,157.1,per_serving,,250,450,"egg,gluten",70,49.0,medium,stir_fried,210,medium
SL007,Pol Roti,120,Roti & Flatbreads,"Wheat flour,coconut,onion,green chili",330,6.5,48.0,12.0,5.0,Coconut flatbread,"Contains Gluten,Vegetarian",any,main,275.0,per_serving,"SL010,SL017,SL018,SL019,SL029,SL130,SL202",80,160,gluten,58,27.8,medium,shallow_fried,205,medium
SL008,Godamba Roti,100,Roti & Flatbreads,"Wheat flour,water,oil,salt",280,7.0,50.0,5.5,2.0,Basic flatbread,"Contains Gluten,Vegetarian,Vegan",any,main,280.0,per_serving,"SL010,SL017,SL025,SL029,SL130",65,135,gluten,72,36.0,high,shallow_fried,185,medium
SL009,Paratha,150,Roti & Flatbreads,"Wheat flour,oil,ghee,salt",450,8.0,55.0,22.0,3.0,Layered flaky bread,"Contains Gluten,Vegetarian",lunch_dinner,main,300.0,per_serving,"SL010,SL017,SL019,SL020,SL025,SL180",100,200,"dairy,gluten",60,33.0,medium,shallow_fried,340,medium
SL010,Dhal Curry,200,Pulses & Legumes,"Red lentils,onion,garlic,spices,coconut milk",280,15.0,32.0,10.0,12.0,Staple lentil curry,"Gluten-Free,Vegetarian",any,side,140.0,per_serving,,150,250,none,30,9.6,low,boiled,175,medium
